,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2024-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ARUNACHAL PRADESH,CHANGLANG,,0,2223,0,2223,0,53000,0,53000,413200,466200,0,19742,0,19742,,,,,0,10336,0,10336,0,29,0,29,,,,,,,,,,,,,,,,,0,30108,0,30108,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30108,0,30108,0,3011,0,3011,0,27097,0,27097,,183,,183,,0,,0,,65,,65,,248,,248,,1,,1,0,226,0,226,0,26806,0,26806,,,,,,,1933,1347,0,,,,,0,0,27097,0,0,,0,,0,,,,,,,,27097,0
32,ARUNACHAL PRADESH,DIBANG VALLEY,,0,0,0,0,0,0,0,0,912900,912900,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
33,ARUNACHAL PRADESH,EAST KAMENG,,0,2026,0,2026,0,31250,0,31250,382150,413400,0,11145,0,11145,,,,,0,6383,0,6383,0,32,0,32,,,,,,6,,6,,,,,,,,,0,17566,0,17566,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17566,0,17566,0,1757,0,1757,0,15809,0,15809,,15,,15,,0,,0,,94,,94,,109,,109,,1,,1,0,24,0,24,0,15692,0,15692,,,,,,,0,621,0,,,,,0,0,15809,0,0,,0,,0,,,,,,,,15809,0
34,ARUNACHAL PRADESH,EAST SIANG,,0,4399,0,4399,0,110100,0,110100,250200,360300,0,70297,0,70297,,,,,0,9925,0,9925,0,40,0,40,,,,,,5,,5,,,,,,,,,0,80266,0,80266,,,,,,,,,,,,0,,,,0,0,0,0,0,0,255,0,255,0,0,0,0,0,-255,0,-255,0,80012,0,80012,0,8027,0,8027,0,71985,0,71985,,64,,64,,4,,4,,110,,110,,179,,179,,0,,0,0,75,0,75,0,71795,0,71795,,,,,,,3734,749,0,,,,,0,0,71985,0,0,,0,,0,,,,,,,,71985,0
35,ARUNACHAL PRADESH,KURUNG KUMEY,,0,0,0,0,0,0,0,0,604000,604000,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
36,ARUNACHAL PRADESH,LOHIT,,0,2998,0,2998,0,200000,0,200000,321200,521200,0,105537,0,105537,,,,,0,17398,0,17398,0,15,0,15,,,,,,,,,,,,,,,,,0,122950,0,122950,,,,,,,,,,,,0,,,,0,0,0,0,0,0,1278,0,1278,0,0,0,0,0,-1278,0,-1278,0,121672,0,121672,0,12295,0,12295,0,109377,0,109377,,231,,231,,8,,8,,34,,34,,274,,274,,0,,0,0,279,0,279,0,109055,0,109055,,,,,,,9791,0,0,,,,,0,0,109377,0,0,,0,,0,,,,,,,,109377,0
37,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,,0,3996,0,3996,0,120000,0,120000,270000,390000,0,77316,0,77316,,,,,0,2236,0,2236,0,74,0,74,,,,,,,,,,,,,,,,,0,79625,0,79625,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79625,0,79625,0,7963,0,7963,0,71663,0,71663,,32,,32,,0,,0,,217,,217,,248,,248,,0,,0,0,34,0,34,0,71412,0,71412,,,,,,,0,1520,0,,,,,0,0,71663,0,0,,0,,0,,,,,,,,71663,0
38,ARUNACHAL PRADESH,LOWER SUBANSIRI,,0,1444,0,1444,0,10135,0,10135,340665,350800,0,2643,0,2643,,,,,0,2591,0,2591,0,7,0,7,,,,,,,,,,,,,,,,,0,5241,0,5241,,,,,,,,,,,,0,,,,0,0,0,0,0,0,232,0,232,0,0,0,0,0,-232,0,-232,0,5010,0,5010,0,524,0,524,0,4486,0,4486,,23,,23,,0,,0,,17,,17,,40,,40,,1,,1,0,43,0,43,0,4426,0,4426,,,,,,,8165,0,0,,,,,0,0,4486,0,0,,0,,0,,,,,,,,4486,0
39,ARUNACHAL PRADESH,PAPUM PARE,,0,3200,0,3200,0,17819,0,17819,328381,346200,0,9018,0,9018,,,,,0,3283,0,3283,0,6,0,6,,,,,,,,,,,,,,,,,0,12307,0,12307,,,,,,,,,,,,0,,,,0,0,325,0,325,0,1158,0,1158,0,0,0,0,0,-1483,0,-1483,0,10824,0,10824,0,1231,0,1231,0,9593,0,9593,,108,,108,,25,,25,,15,,15,,149,,149,,2,,2,0,191,0,191,0,9362,0,9362,,,,,,,6968,386,0,,,,,0,0,9593,0,0,,0,,0,,,,,,,,9593,0
40,ARUNACHAL PRADESH,TAWANG,,0,0,0,0,0,0,0,0,217200,217200,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
41,ARUNACHAL PRADESH,TIRAP,,0,2907,0,2907,0,12500,0,12500,223700,236200,0,6396,0,6396,,,,,0,2269,0,2269,0,2,0,2,,1,,1,,0,,0,,,,,,,,,0,8669,0,8669,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8669,0,8669,0,867,0,867,0,7802,0,7802,,49,,49,,0,,0,,6,,6,,56,,56,,1,,1,0,56,0,56,0,7740,0,7740,,,,,,,102,134,0,,,,,0,0,7802,0,0,,0,,0,,,,,,,,7802,0
42,ARUNACHAL PRADESH,UPPER SIANG,,0,0,0,0,0,0,0,0,659000,659000,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,,,,0,0,0,0,0,,0,,0,,,,,,,,0,0
43,ARUNACHAL PRADESH,UPPER SUBANSIRI,,0,1735,0,1735,0,700,0,700,702500,703200,0,214,0,214,,,,,0,2480,0,2480,0,6,0,6,,,,,,,,,,,,,,,,,0,2700,0,2700,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,0,2700,0,270,0,270,0,2430,0,2430,,4,,4,,1,,1,,17,,17,,21,,21,,1,,1,0,7,0,7,0,2405,0,2405,,,,,,,0,0,0,,,,,0,0,2430,0,0,,0,,0,,,,,,,,2430,0
44,ARUNACHAL PRADESH,WEST KAMENG,,0,2389,0,2389,0,6175,0,6175,736025,742200,0,2596,0,2596,,,,,0,756,0,756,0,1,0,1,,,,,,0,,0,,,,,,,,,0,3352,0,3352,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3352,0,3352,0,335,0,335,0,3017,0,3017,,12,,12,,0,,0,,2,,2,,13,,13,,0,,0,0,13,0,13,0,3002,0,3002,,,,,,,0,4,0,,,,,0,0,3017,0,0,,0,,0,,,,,,,,3017,0
45,ARUNACHAL PRADESH,WEST SIANG,,0,2892,0,2892,0,10459,0,10459,822041,832500,0,5323,0,5323,,,,,0,874,0,874,0,2,0,2,,,,,,1,,1,,,,,,,,,0,6200,0,6200,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,0,6200,0,620,0,620,0,5580,0,5580,,2,,2,,1,,1,,4,,4,,8,,8,,0,,0,0,3,0,3,0,5571,0,5571,,,,,,,0,3,0,,,,,0,0,5580,0,0,,0,,0,,,,,,,,5580,0
46,ASSAM,BAKSA,,0,3275,0,3275,0,244873,0,244873,1383,246256,0,125521,0,125521,,,,,0,9555,0,9555,0,971,0,971,,3924,,3924,,,,,,,,,,,,,0,139970,0,139970,,,,,,,,,,,,0,,,,0,0,0,0,0,0,2423,0,2423,0,0,0,0,0,-2423,0,-2423,0,137547,0,137547,0,12987,0,12987,0,124559,0,124559,,2014,,2014,,3,,3,,2464,,2464,,4481,,4481,,4,,4,0,2273,0,2273,0,119819,0,119819,,,,,,,,,,,,,,1800731,0,1925290,0,0,,0,,0,,,,,,,,1925290,0
47,ASSAM,BARPETA,,0,2052,0,2052,0,227056,0,227056,1144,228200,0,79512,0,79512,,,,,0,380,0,380,0,10442,0,10442,,4271,,4271,,,,,,,,,,,,,0,94604,0,94604,,,,,,,,,,,,0,,,,0,0,0,0,0,0,4446,0,4446,0,0,0,0,0,-4446,0,-4446,0,90159,0,90159,0,6019,0,6019,0,84140,0,84140,,4058,,4058,,19,,19,,31337,,31337,,35413,,35413,,42,,42,0,5215,0,5215,0,47569,0,47569,,,,,,,,,,,,,,711442,0,795581,0,0,,0,,0,,,,,,,,795581,0
48,ASSAM,BONGAIGAON,,0,3102,0,3102,0,99730,0,99730,9570,109300,0,46133,0,46133,,,,,0,199,0,199,0,6462,0,6462,,1667,,1667,,,,,,,,,,,,,0,54461,0,54461,,,,,,,,,,,,0,,,,0,0,0,0,0,0,4225,0,4225,0,0,0,0,0,-4225,0,-4225,0,50236,0,50236,0,5446,0,5446,0,44790,0,44790,,1703,,1703,,7,,7,,14361,,14361,,16070,,16070,,36,,36,0,2166,0,2166,0,28257,0,28257,,,,,,,,,,,,,,544471,0,589261,0,0,,0,,0,,,,,,,,589261,0
49,ASSAM,CACHAR,,0,3312,0,3312,0,273358,0,273358,105242,378600,0,85892,0,85892,,,,,0,2610,0,2610,0,0,0,0,,2367,,2367,,,,,,,,,,,,,0,90869,0,90869,,,,,,,,,,,,0,,,,0,0,816,0,816,0,38497,0,38497,0,0,0,0,0,-39313,0,-39313,0,51557,0,51557,0,9087,0,9087,0,42470,0,42470,,1436,,1436,,0,,0,,0,,0,,1436,,1436,,3,,3,0,1817,0,1817,0,40653,0,40653,,,,,,,,,,,,,,388148,0,430618,0,0,,0,,0,,,,,,,,430618,0
50,ASSAM,CHIRANG,,0,3219,0,3219,0,191794,0,191794,506,192300,0,91989,0,91989,,,,,0,262,0,262,0,415,0,415,,105,,105,,,,,,,,,,,,,0,92771,0,92771,,,,,,,,,,,,0,,,,0,0,0,0,0,0,1772,0,1772,0,0,0,0,0,-1772,0,-1772,0,90999,0,90999,0,9277,0,9277,0,81722,0,81722,,956,,956,,6,,6,,1464,,1464,,2426,,2426,,3,,3,0,1086,0,1086,0,79166,0,79166,,,,,,,,,,,,,,1423427,0,1505149,0,0,,0,,0,,,,,,,,1505149,0
51,ASSAM,DARRANG,,0,1951,0,1951,0,157654,0,157654,846,158500,0,47413,0,47413,,,,,0,102,0,102,0,1757,0,1757,,4925,,4925,,,,,,,,,,,,,0,54197,0,54197,,,,,,,,,,,,0,,,,0,0,0,0,0,0,233,0,233,0,0,0,0,0,-233,0,-233,0,53965,0,53965,0,4580,0,4580,0,49385,0,49385,,2150,,2150,,60,,60,,22453,,22453,,24663,,24663,,50,,50,0,2790,0,2790,0,24081,0,24081,,,,,,,,,,,,,,1243817,0,1293202,0,0,,0,,0,,,,,,,,1293202,0
52,ASSAM,DHEMAJI,,0,2859,0,2859,0,315156,0,315156,8544,323700,0,134480,0,134480,,,,,0,16,0,16,0,996,0,996,,290,,290,,,,,,,,,,,,,0,135782,0,135782,,,,,,,,,,,,0,,,,0,0,313,0,313,0,31906,0,31906,0,0,0,0,0,-32219,0,-32219,0,103564,0,103564,0,13578,0,13578,0,89985,0,89985,,1534,,1534,,7,,7,,2781,,2781,,4322,,4322,,5,,5,0,1936,0,1936,0,85262,0,85262,,,,,,,,,,,,,,3659095,0,3749080,0,0,,0,,0,,,,,,,,3749080,0
53,ASSAM,DHUBRI,,0,2753,0,2753,0,214392,0,214392,3208,217600,0,87359,0,87359,,,,,0,564,0,564,0,8635,0,8635,,3128,,3128,,,,,,,,,,,,,0,99686,0,99686,,,,,,,,,,,,0,,,,0,0,0,0,0,0,738,0,738,0,0,0,0,0,-738,0,-738,0,98948,0,98948,0,9388,0,9388,0,89560,0,89560,,4751,,4751,,28,,28,,22758,,22758,,27537,,27537,,31,,31,0,6348,0,6348,0,60425,0,60425,,,,,,,,,,,,,,636625,0,726185,0,0,,0,,0,,,,,,,,726185,0
54,ASSAM,DIBRUGARH,,0,2649,0,2649,0,334688,0,334688,3412,338100,0,135247,0,135247,,,,,0,43,0,43,0,688,0,688,,1611,,1611,,,,,,,,,,,,,0,137589,0,137589,,,,,,,,,,,,0,,,,0,0,0,0,0,0,11411,0,11411,0,0,0,0,0,-11411,0,-11411,0,126178,0,126178,0,13759,0,13759,0,112419,0,112419,,2718,,2718,,84,,84,,2173,,2173,,4975,,4975,,4,,4,0,3109,0,3109,0,107053,0,107053,,,,,,,,,,,,,,3863924,0,3976344,0,0,,0,,0,,,,,,,,3976344,0
55,ASSAM,DIMA HASAO,,0,2792,0,2792,0,234300,0,234300,254500,488800,0,62795,0,62795,,,,,,,,,0,6,0,6,,29,,29,,,,,,,,,,,,,0,62831,0,62831,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62831,0,62831,0,6283,0,6283,0,56548,0,56548,,239,,239,,1,,1,,43,,43,,284,,284,,1,,1,0,280,0,280,0,56223,0,56223,,,,,,,,,,,,,,351450,0,407998,0,0,,0,,0,,,,,,,,407998,0
56,ASSAM,GOALPARA,,0,2583,0,2583,0,171983,0,171983,10417,182400,0,68066,0,68066,,,,,0,437,0,437,0,5166,0,5166,,1403,,1403,,,,,,,,,,,,,0,75072,0,75072,,,,,,,,,,,,0,,,,0,0,0,0,0,0,14370,0,14370,0,0,0,0,0,-14370,0,-14370,0,60702,0,60702,0,7507,0,7507,0,53195,0,53195,,2496,,2496,,44,,44,,14838,,14838,,17377,,17377,,33,,33,0,3258,0,3258,0,35055,0,35055,,,,,,,,,,,,,,957346,0,1010541,0,0,,0,,0,,,,,,,,1010541,0
57,ASSAM,GOLAGHAT,,0,1752,0,1752,0,348140,0,348140,2060,350200,0,105354,0,105354,,,,,0,356,0,356,0,1096,0,1096,,731,,731,,,,,,,,,,,,,0,107537,0,107537,,,,,,,,,,,,0,,,,0,0,0,0,0,0,1653,0,1653,0,0,0,0,0,-1653,0,-1653,0,105884,0,105884,0,6700,0,6700,0,99183,0,99183,,2017,,2017,,122,,122,,3587,,3587,,5726,,5726,,6,,6,0,2330,0,2330,0,93144,0,93144,,,,,,,,,,,,,,819743,0,918926,0,0,,0,,0,,,,,,,,918926,0
58,ASSAM,HAILAKANDI,,0,2838,0,2838,0,104981,0,104981,27719,132700,0,26654,0,26654,,,,,0,57,0,57,0,0,0,0,,1140,,1140,,,,,,,,,,,,,0,27851,0,27851,,,,,,,,,,,,0,,,,0,0,189,0,189,0,6316,0,6316,0,0,0,0,0,-6505,0,-6505,0,21345,0,21345,0,2785,0,2785,0,18560,0,18560,,545,,545,,0,,0,,1,,1,,546,,546,,3,,3,0,701,0,701,0,17859,0,17859,,,,,,,,,,,,,,148582,0,167142,0,0,,0,,0,,,,,,,,167142,0
59,ASSAM,JORHAT,,0,2265,0,2265,0,279408,0,279408,5692,285100,0,112679,0,112679,,,,,0,18255,0,18255,0,2613,0,2613,,741,,741,,,,,,,,,,,,,0,134288,0,134288,,,,,,,,,,,,0,,,,0,0,1107,0,1107,0,58060,0,58060,0,0,0,0,0,-59167,0,-59167,0,75122,0,75122,0,11818,0,11818,0,63304,0,63304,,1400,,1400,,28,,28,,8834,,8834,,10262,,10262,,16,,16,0,1554,0,1554,0,52888,0,52888,,,,,,,,,,,,,,1923048,0,1986352,0,0,,0,,0,,,,,,,,1986352,0
60,ASSAM,KAMRUP,,0,1896,0,1896,0,263024,0,263024,47476,310500,0,81631,0,81631,,,,,0,7554,0,7554,0,4041,0,4041,,897,,897,,,,,,,,,,,,,0,94122,0,94122,,,,,,,,,,,,0,,,,0,0,14,0,14,0,12604,0,12604,0,0,0,0,0,-12619,0,-12619,0,81504,0,81504,0,7792,0,7792,0,73712,0,73712,,3596,,3596,,307,,307,,11056,,11056,,14959,,14959,,20,,20,0,4389,0,4389,0,57960,0,57960,,,,,,,,,,,,,,1455558,0,1529269,0,0,,0,,0,,,,,,,,1529269,0
61,ASSAM,KAMRUP (M),,0,1813,0,1813,0,65912,0,65912,29545,95457,0,19560,0,19560,,,,,0,145,0,145,0,512,0,512,,954,,954,,,,,,,,,,,,,0,21171,0,21171,,,,,,,,,,,,0,,,,0,0,13,0,13,0,3957,0,3957,0,0,0,0,0,-3970,0,-3970,0,17201,0,17201,0,1733,0,1733,0,15468,0,15468,,3622,,3622,,179,,179,,1430,,1430,,5231,,5231,,34,,34,0,3701,0,3701,0,10158,0,10158,,,,,,,,,,,,,,689574,0,705042,0,0,,0,,0,,,,,,,,705042,0
62,ASSAM,KARBI ANGLONG,,0,1122,0,1122,0,656090,0,656090,387310,1043400,0,141672,0,141672,,,,,,,,,0,207,0,207,,588,,588,,,,,,,,,,,,,0,142468,0,142468,,,,,,,,,,,,0,,,,0,0,114,0,114,0,12804,0,12804,0,0,0,0,0,-12918,0,-12918,0,129550,0,129550,0,12694,0,12694,0,116856,0,116856,,1975,,1975,,39,,39,,578,,578,,2593,,2593,,2,,2,0,2419,0,2419,0,113820,0,113820,,,,,,,,,,,,,,1813210,0,1930066,0,0,,0,,0,,,,,,,,1930066,0
63,ASSAM,KARIMGANJ,,0,3751,0,3751,0,167648,0,167648,13252,180900,0,59812,0,59812,,,,,0,81,0,81,0,22,0,22,,1430,,1430,,,,,,,,,,,,,0,61345,0,61345,,,,,,,,,,,,0,,,,0,0,1601,0,1601,0,21349,0,21349,0,0,0,0,0,-22950,0,-22950,0,38395,0,38395,0,6134,0,6134,0,32261,0,32261,,1349,,1349,,4,,4,,61,,61,,1413,,1413,,4,,4,0,1744,0,1744,0,30452,0,30452,,,,,,,,,,,,,,241799,0,274059,0,0,,0,,0,,,,,,,,274059,0
64,ASSAM,KOKRAJHAR,,0,3102,0,3102,0,327030,0,327030,2570,329600,0,161100,0,161100,,,,,0,949,0,949,0,3241,0,3241,,668,,668,,,,,,,,,,,,,0,165958,0,165958,,,,,,,,,,,,0,,,,0,0,0,0,0,0,6014,0,6014,0,0,0,0,0,-6014,0,-6014,0,159944,0,159944,0,15465,0,15465,0,144479,0,144479,,1739,,1739,,5,,5,,7730,,7730,,9474,,9474,,7,,7,0,1844,0,1844,0,134900,0,134900,,,,,,,,,,,,,,1374531,0,1519010,0,0,,0,,0,,,,,,,,1519010,0
65,ASSAM,LAKHIMPUR,,0,3270,0,3270,0,224930,0,224930,2770,227700,0,114775,0,114775,,,,,0,0,0,0,0,2238,0,2238,,1008,,1008,,,,,,,,,,,,,0,118022,0,118022,,,,,,,,,,,,0,,,,0,0,0,0,0,0,35438,0,35438,0,0,0,0,0,-35438,0,-35438,0,82584,0,82584,0,11802,0,11802,0,70782,0,70782,,2468,,2468,,12,,12,,5329,,5329,,7808,,7808,,11,,11,0,3010,0,3010,0,62432,0,62432,,,,,,,,,,,,,,457346,0,528128,0,0,,0,,0,,,,,,,,528128,0
66,ASSAM,MORIGAON,,0,1885,0,1885,0,149066,0,149066,6034,155100,0,41942,0,41942,,,,,0,693,0,693,0,2067,0,2067,,953,,953,,,,,,,,,,,,,0,45655,0,45655,,,,,,,,,,,,0,,,,0,0,0,0,0,0,6684,0,6684,0,0,0,0,0,-6684,0,-6684,0,38971,0,38971,0,4566,0,4566,0,34405,0,34405,,2362,,2362,,15,,15,,5566,,5566,,7943,,7943,,23,,23,0,3111,0,3111,0,25713,0,25713,,,,,,,,,,,,,,1188493,0,1222898,0,0,,0,,0,,,,,,,,1222898,0
67,ASSAM,NAGAON,,0,1885,0,1885,0,377341,0,377341,19959,397300,0,115901,0,115901,,,,,0,15337,0,15337,0,14300,0,14300,,9255,,9255,,,,,,,,,,,,,0,154793,0,154793,,,,,,,,,,,,0,,,,0,0,13,0,13,0,25709,0,25709,0,0,0,0,0,-25723,0,-25723,0,129070,0,129070,0,15479,0,15479,0,113591,0,113591,,1836,,1836,,103,,103,,38380,,38380,,40318,,40318,,35,,35,0,2377,0,2377,0,72731,0,72731,,,,,,,,,,,,,,1187135,0,1300726,0,0,,0,,0,,,,,,,,1300726,0
68,ASSAM,NALBARI,,0,1896,0,1896,0,103630,0,103630,1014,104644,0,30148,0,30148,,,,,,,,,0,3500,0,3500,,3989,,3989,,,,,,,,,,,,,0,37636,0,37636,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37636,0,37636,0,3764,0,3764,0,33873,0,33873,,402,,402,,37,,37,,11059,,11059,,11498,,11498,,34,,34,0,461,0,461,0,22316,0,22316,,,,,,,,,,,,,,587457,0,621330,0,0,,0,,0,,,,,,,,621330,0
69,ASSAM,SIBSAGAR,,0,2412,0,2412,0,264459,0,264459,2341,266800,0,101355,0,101355,,,,,0,19,0,19,0,1026,0,1026,,552,,552,,,,,,,,,,,,,0,102951,0,102951,,,,,,,,,,,,0,,,,0,0,177,0,177,0,6609,0,6609,0,0,0,0,0,-6786,0,-6786,0,96165,0,96165,0,8838,0,8838,0,87327,0,87327,,1774,,1774,,74,,74,,3798,,3798,,5645,,5645,,6,,6,0,1972,0,1972,0,81484,0,81484,,,,,,,,,,,,,,1171838,0,1259165,0,0,,0,,0,,,,,,,,1259165,0
70,ASSAM,SONITPUR,,0,1979,0,1979,0,513224,0,513224,7176,520400,0,169813,0,169813,,,,,0,2030,0,2030,0,3422,0,3422,,733,,733,,,,,,,,,,,,,0,175997,0,175997,,,,,,,,,,,,0,,,,0,0,8,0,8,0,25000,0,25000,0,0,0,0,0,-25008,0,-25008,0,150989,0,150989,0,15813,0,15813,0,135176,0,135176,,4063,,4063,,104,,104,,10060,,10060,,14228,,14228,,11,,11,0,4854,0,4854,0,120157,0,120157,,,,,,,,,,,,,,5905557,0,6040733,0,0,,0,,0,,,,,,,,6040733,0
71,ASSAM,TINSUKIA,,0,2323,0,2323,0,371757,0,371757,7243,379000,0,134968,0,134968,,,,,0,1785,0,1785,0,2284,0,2284,,1227,,1227,,,,,,,,,,,,,0,140263,0,140263,,,,,,,,,,,,0,,,,0,0,0,0,0,0,12189,0,12189,0,0,0,0,0,-12189,0,-12189,0,128074,0,128074,0,14026,0,14026,0,114047,0,114047,,2097,,2097,,69,,69,,8631,,8631,,10796,,10796,,9,,9,0,2503,0,2503,0,102845,0,102845,,,,,,,,,,,,,,1847947,0,1961995,0,0,,0,,0,,,,,,,,1961995,0
72,ASSAM,UDALGURI,,0,1958,0,1958,0,200169,0,200169,1031,201200,0,65869,0,65869,,,,,0,488,0,488,0,1482,0,1482,,413,,413,,,,,,,,,,,,,0,68252,0,68252,,,,,,,,,,,,0,,,,0,0,0,0,0,0,15818,0,15818,0,0,0,0,0,-15818,0,-15818,0,52433,0,52433,0,5635,0,5635,0,46799,0,46799,,1542,,1542,,63,,63,,4113,,4113,,5717,,5717,,12,,12,0,1717,0,1717,0,40906,0,40906,,,,,,,,,,,,,,1502128,0,1548926,0,0,,0,,0,,,,,,,,1548926,0
